,code_insee,nom_standard,nom_sans_pronom,nom_a,nom_de,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,academie_code,academie_nom,code_postal,codes_postaux,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,nom_unite_urbaine,taille_unite_urbaine,type_commune_unite_urbaine,statut_commune_unite_urbaine,population,superficie_hectare,superficie_km2,densite,altitude_moyenne,altitude_minimale,altitude_maximale,latitude_mairie,longitude_mairie,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,niveau_equipements_services,niveau_equipements_services_texte,gentile,url_wikipedia,url_villedereve
1956,06090,Pégomas,Pégomas,à Pégomas,de Pégomas,pegomas,PÉGOMAS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0613,Mandelieu-la-Napoule,200039857,CA du Pays de Grasse,23,Nice,06580,06580,09304,06029,06701,Nice,7.0,UNITE URBAINE,B,8045,1115,11,722.0,130,6.0,483.0,43.594,6.928,43.587,6.922,4,Ceintures urbaines,2.0,centres intermédiaires d'équipements et de services,Pégomassois,https://fr.wikipedia.org/wiki/fr:Pégomas,https://villedereve.fr/ville/06090-pegomas
1957,06091,Peille,Peille,à Peille,de Peille,peille,PEILLE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0610,Contes,240600593,CC du Pays des Paillons,23,Nice,06440,06440,09314,06083,06000,,0.0,HORS UNITE URBAINE,H,2287,4275,43,53.0,752,190.0,1268.0,43.803,7.402,43.806,7.411,6,Rural à habitat dispersé,1.0,centres locaux d'équipements et de services,Peillois ou Peillasques,https://fr.wikipedia.org/wiki/fr:Peille,https://villedereve.fr/ville/06091-peille
1958,06092,Peillon,Peillon,à Peillon,de Peillon,peillon,PEILLON,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0610,Contes,240600593,CC du Pays des Paillons,23,Nice,06440,06440,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,1445,868,9,166.0,344,115.0,720.0,43.768,7.367,43.773,7.372,6,Rural à habitat dispersé,1.0,centres locaux d'équipements et de services,Peillonnais(e),https://fr.wikipedia.org/wiki/fr:Peillon,https://villedereve.fr/ville/06092-peillon
1959,06093,La Penne,Penne,à Penne,de la Penne,la-penne,LA PENNE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06260,06260,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,239,1801,18,13.0,850,520.0,1436.0,43.928,6.948,43.925,6.942,7,Rural à habitat très dispersé,0.0,communes non pôle,Pennois,https://fr.wikipedia.org/wiki/fr:La Penne,https://villedereve.fr/ville/06093-la-penne
1960,06094,Péone,Péone,à Péone,de Péone,peone,PÉONE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06470,06470,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,979,4845,48,20.0,1753,947.0,2640.0,44.116,6.907,44.13,6.921,6,Rural à habitat dispersé,1.0,centres locaux d'équipements et de services,Péoniens,https://fr.wikipedia.org/wiki/fr:Péone,https://villedereve.fr/ville/06094-peone
1961,06095,Peymeinade,Peymeinade,à Peymeinade,de Peymeinade,peymeinade,PEYMEINADE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0611,Grasse-1,200039857,CA du Pays de Grasse,23,Nice,06530,"06532, 06531, 06530",09304,06029,06701,Nice,7.0,UNITE URBAINE,B,8256,993,10,831.0,204,29.0,326.0,43.642,6.876,43.63,6.882,4,Ceintures urbaines,2.0,centres intermédiaires d'équipements et de services,Peymeinadois,https://fr.wikipedia.org/wiki/fr:Peymeinade,https://villedereve.fr/ville/06095-peymeinade
1962,06096,Pierlas,Pierlas,à Pierlas,de Pierlas,pierlas,PIERLAS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06260,06260,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,101,3138,31,3.0,1421,560.0,2106.0,44.031,7.036,44.035,7.017,7,Rural à habitat très dispersé,0.0,communes non pôle,Pierlassois ou Pierlencs,https://fr.wikipedia.org/wiki/fr:Pierlas,https://villedereve.fr/ville/06096-pierlas
1963,06097,Pierrefeu,Pierrefeu,à Pierrefeu,de Pierrefeu,pierrefeu,PIERREFEU,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06910,06910,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,340,2217,22,15.0,734,222.0,1520.0,43.864,7.092,43.885,7.071,6,Rural à habitat dispersé,0.0,communes non pôle,Pierrefeutins,https://fr.wikipedia.org/wiki/fr:Pierrefeu,https://villedereve.fr/ville/06097-pierrefeu
1964,06098,Puget-Rostang,Puget-Rostang,à Puget-Rostang,de Puget-Rostang,puget-rostang,PUGET-ROSTANG,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06260,06260,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,126,2239,22,6.0,1166,537.0,1738.0,43.974,6.919,43.987,6.937,6,Rural à habitat dispersé,0.0,communes non pôle,Rostagnois,https://fr.wikipedia.org/wiki/fr:Puget-Rostang,https://villedereve.fr/ville/06098-puget-rostang
1965,06099,Puget-Théniers,Puget-Théniers,à Puget-Théniers,de Puget-Théniers,puget-theniers,PUGET-THÉNIERS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06260,06260,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,1813,2134,21,85.0,640,353.0,1436.0,43.956,6.893,43.952,6.906,5,Bourgs ruraux,2.0,centres intermédiaires d'équipements et de services,Pugetois,https://fr.wikipedia.org/wiki/fr:Puget-Théniers,https://villedereve.fr/ville/06099-puget-theniers
1966,06100,Revest-les-Roches,Revest-les-Roches,à Revest-les-Roches,de Revest-les-Roches,revest-les-roches,REVEST-LES-ROCHES,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06830,06830,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,233,867,9,27.0,780,138.0,1524.0,43.882,7.156,43.883,7.168,6,Rural à habitat dispersé,0.0,communes non pôle,Revestois,https://fr.wikipedia.org/wiki/fr:Revest-les-Roches,https://villedereve.fr/ville/06100-revest-les-roches
1967,06101,Rigaud,Rigaud,à Rigaud,de Rigaud,rigaud,RIGAUD,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06260,06260,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,169,3224,32,5.0,1000,333.0,1907.0,43.99,6.991,43.993,6.975,6,Rural à habitat dispersé,0.0,communes non pôle,Rigaudois,https://fr.wikipedia.org/wiki/fr:Rigaud (Alpes-Maritimes),https://villedereve.fr/ville/06101-rigaud
1968,06102,Rimplas,Rimplas,à Rimplas,de Rimplas,rimplas,RIMPLAS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0624,Tourrette-Levens,200030195,Métropole Nice Côte d'Azur,23,Nice,06420,06420,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,133,2489,25,5.0,1680,400.0,2649.0,44.064,7.132,44.103,7.145,6,Rural à habitat dispersé,0.0,communes non pôle,Rimplassois,https://fr.wikipedia.org/wiki/fr:Rimplas,https://villedereve.fr/ville/06102-rimplas
1969,06103,Roquebillière,Roquebillière,à Roquebillière,de Roquebillière,roquebilliere,ROQUEBILLIÈRE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0624,Tourrette-Levens,200030195,Métropole Nice Côte d'Azur,23,Nice,06450,06450,09315,06088,06104,Roquebillière,1.0,UNITE URBAINE,C,1815,2563,26,71.0,1073,500.0,2045.0,44.013,7.308,44.027,7.293,5,Bourgs ruraux,2.0,centres intermédiaires d'équipements et de services,Roquebilliérois,https://fr.wikipedia.org/wiki/fr:Roquebillière,https://villedereve.fr/ville/06103-roquebilliere
1970,06104,Roquebrune-Cap-Martin,Roquebrune-Cap-Martin,à Roquebrune-Cap-Martin,de Roquebrune-Cap-Martin,roquebrune-cap-martin,ROQUEBRUNE-CAP-MARTIN,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0614,Menton,240600551,CA de la Riviera Française,23,Nice,06190,06190,09314,06083,06501,Menton-Monaco (partie française),5.0,UNITE URBAINE,B,12371,951,10,1301.0,240,0.0,800.0,43.758,7.474,43.764,7.459,2,Centres urbains intermédiaires,2.0,centres intermédiaires d'équipements et de services,Roquebrunois,https://fr.wikipedia.org/wiki/fr:Roquebrune-Cap-Martin,https://villedereve.fr/ville/06104-roquebrune-cap-martin
1971,06105,Roquefort-les-Pins,Roquefort-les-Pins,à Roquefort-les-Pins,de Roquefort-les-Pins,roquefort-les-pins,ROQUEFORT-LES-PINS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0627,Villeneuve-Loubet,240600585,CA de Sophia Antipolis,23,Nice,06330,06330,09304,06029,06701,Nice,7.0,UNITE URBAINE,B,7276,2163,22,336.0,210,20.0,362.0,43.666,7.051,43.674,7.053,4,Ceintures urbaines,2.0,centres intermédiaires d'équipements et de services,Roquefortois,https://fr.wikipedia.org/wiki/fr:Roquefort-les-Pins,https://villedereve.fr/ville/06105-roquefort-les-pins
1972,06106,Roquestéron,Roquestéron,à Roquestéron,de Roquestéron,roquesteron,ROQUESTÉRON,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06910,06910,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,561,631,6,89.0,520,270.0,1040.0,43.874,7.006,43.868,7.024,6,Rural à habitat dispersé,1.0,centres locaux d'équipements et de services,Roquérois,https://fr.wikipedia.org/wiki/fr:Roquestéron,https://villedereve.fr/ville/06106-roquesteron
1973,06107,La Roque-en-Provence,Roque-en-Provence,à Roque-en-Provence,de la Roque-en-Provence,la-roque-en-provence,LA ROQUE-EN-PROVENCE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,240600585,CA de Sophia Antipolis,23,Nice,06910,06910,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,65,2409,24,3.0,850,289.0,1565.0,43.872,7.006,43.849,6.99,6,Rural à habitat dispersé,0.0,communes non pôle,Roquerois,https://fr.wikipedia.org/wiki/fr:La Roque-en-Provence,https://villedereve.fr/ville/06107-la-roque-en-provence
1974,06108,La Roquette-sur-Siagne,Roquette-sur-Siagne,à Roquette-sur-Siagne,de la Roquette-sur-Siagne,la-roquette-sur-siagne,LA ROQUETTE-SUR-SIAGNE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0613,Mandelieu-la-Napoule,200039857,CA du Pays de Grasse,23,Nice,06550,"06550, 06371",09304,06029,06701,Nice,7.0,UNITE URBAINE,B,5436,625,6,870.0,65,6.0,170.0,43.58,6.956,43.585,6.95,4,Ceintures urbaines,2.0,centres intermédiaires d'équipements et de services,Roquettans,https://fr.wikipedia.org/wiki/fr:La Roquette-sur-Siagne,https://villedereve.fr/ville/06108-la-roquette-sur-siagne
1975,06109,La Roquette-sur-Var,Roquette-sur-Var,à Roquette-sur-Var,de la Roquette-sur-Var,la-roquette-sur-var,LA ROQUETTE-SUR-VAR,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0624,Tourrette-Levens,200030195,Métropole Nice Côte d'Azur,23,Nice,06670,06670,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,945,426,4,222.0,299,108.0,600.0,43.828,7.198,43.833,7.205,5,Bourgs ruraux,0.0,communes non pôle,Roquettans,https://fr.wikipedia.org/wiki/fr:La Roquette-sur-Var,https://villedereve.fr/ville/06109-la-roquette-sur-var
1976,06110,Roubion,Roubion,à Roubion,de Roubion,roubion,ROUBION,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0624,Tourrette-Levens,200030195,Métropole Nice Côte d'Azur,23,Nice,06420,06420,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,116,2691,27,4.0,1684,840.0,2488.0,44.093,7.05,44.108,7.028,7,Rural à habitat très dispersé,0.0,communes non pôle,Roubionnais,https://fr.wikipedia.org/wiki/fr:Roubion (Alpes-Maritimes),https://villedereve.fr/ville/06110-roubion
1977,06111,Roure,Roure,à Roure,de Roure,roure,ROURE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0624,Tourrette-Levens,200030195,Métropole Nice Côte d'Azur,23,Nice,06420,06420,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,113,3961,40,3.0,1477,500.0,2339.0,44.09,7.088,44.119,7.067,6,Rural à habitat dispersé,0.0,communes non pôle,Rourois,https://fr.wikipedia.org/wiki/fr:Roure,https://villedereve.fr/ville/06111-roure
1978,06112,Le Rouret,Rouret,au Rouret,du Rouret,le-rouret,LE ROURET,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0625,Valbonne,240600585,CA de Sophia Antipolis,23,Nice,06650,06650,09304,06029,06701,Nice,7.0,UNITE URBAINE,B,4157,715,7,581.0,315,178.0,480.0,43.674,7.006,43.68,7.01,4,Ceintures urbaines,2.0,centres intermédiaires d'équipements et de services,Rouretans,https://fr.wikipedia.org/wiki/fr:Le Rouret,https://villedereve.fr/ville/06112-le-rouret
